"Date","Price","Open","High","Low","Vol.","Change %"
"02/16/2024","857.60","863.69","864.24","854.72","1.34B","-0.19%"
"02/15/2024","859.21","860.13","861.37","852.79","1.22B","0.69%"
"02/14/2024","853.30","833.24","854.44","831.56","1.09B","0.96%"
"02/13/2024","845.15","831.14","846.58","830.66","896.29M","2.25%"
"02/08/2024","826.58","816.82","828.03","816.27","912.50M","1.81%"
"02/07/2024","811.92","811.51","820.06","809.18","827.98M","0.61%"
"02/06/2024","807.03","804.36","808.39","795.37","1.07B","-0.12%"
"02/05/2024","807.99","812.28","813.83","807.36","974.41M","-0.83%"
"02/02/2024","814.77","803.71","817.74","803.71","1.10B","2.01%"
"02/01/2024","798.73","796.26","800.91","786.28","1.12B","-0.06%"
"01/31/2024","799.24","813.80","818.90","799.24","1.14B","-2.40%"
"01/30/2024","818.86","826.00","828.54","811.57","1.10B","-0.03%"
"01/29/2024","819.14","841.21","841.21","815.54","1.25B","-2.16%"
"01/26/2024","837.24","818.76","839.52","817.06","1.24B","1.64%"
"01/25/2024","823.74","833.34","833.34","820.64","1.57B","-1.49%"
"01/24/2024","836.21","841.45","842.90","828.12","1.42B","-0.46%"
"01/23/2024","840.11","840.62","848.65","833.24","1.25B","0.05%"
"01/22/2024","839.69","848.87","849.32","836.89","1.32B","-0.35%"
"01/19/2024","842.67","848.66","856.05","837.87","1.22B","0.28%"
"01/18/2024","840.33","834.01","848.63","830.06","1.17B","0.87%"
"01/17/2024","833.05","856.61","856.97","832.70","1.11B","-2.55%"
"01/16/2024","854.83","857.39","864.90","846.47","1.03B","-0.57%"
"01/15/2024","859.71","865.45","869.69","855.00","996.41M","-0.96%"
"01/12/2024","868.08","878.69","880.30","865.81","1.11B","-1.64%"
"01/11/2024","882.53","878.12","885.75","878.12","1.48B","0.81%"
"01/10/2024","875.46","884.08","884.08","872.68","1.27B","-1.04%"
"01/09/2024","884.64","886.10","890.06","881.97","1.17B","0.60%"
"01/08/2024","879.34","880.24","882.88","875.34","1.16B","0.11%"
"01/05/2024","878.33","866.81","878.98","864.86","1.05B","1.39%"
"01/04/2024","866.25","865.35","872.79","860.45","1.22B","-0.61%"
"01/03/2024","871.57","872.21","872.44","865.12","1.26B","-0.84%"
"01/02/2024","878.93","866.08","878.93","865.26","1.15B","1.43%"
"12/28/2023","866.57","860.42","866.57","856.53","1.25B","0.79%"
"12/27/2023","859.79","851.49","860.29","851.21","1.22B","1.35%"
"12/26/2023","848.34","855.75","857.24","846.32","1.08B","-0.73%"
"12/22/2023","854.62","863.35","864.79","853.49","1.21B","-0.56%"
"12/21/2023","859.44","855.76","867.33","851.82","1.15B","-0.41%"
"12/20/2023","862.98","861.96","865.02","860.56","1.12B","0.55%"
"12/19/2023","858.30","850.36","858.65","849.33","1.07B","0.86%"
"12/18/2023","850.96","844.78","854.07","843.61","802.09M","1.51%"
"12/15/2023","838.31","844.76","846.70","834.94","1.08B","-0.27%"
"12/14/2023","840.59","841.75","845.54","834.66","1.04B","1.36%"
"12/13/2023","829.31","837.55","838.25","828.72","1.07B","-1.22%"
"12/12/2023","839.53","835.41","842.56","833.67","1.22B","0.51%"
"12/11/2023","835.25","831.83","839.15","831.64","930.37M","0.59%"
"12/08/2023","830.37","818.71","830.99","818.50","862.26M","2.11%"
"12/07/2023","813.20","820.46","820.46","810.90","794.86M","-0.77%"
"12/06/2023","819.54","816.66","822.39","814.00","882.76M","0.76%"
"12/05/2023","813.38","823.86","828.25","810.52","1.06B","-1.83%"
"12/04/2023","828.52","828.66","837.95","823.99","1.01B","0.15%"
"12/01/2023","827.24","826.30","831.03","822.03","997.87M","-0.53%"
"11/30/2023","831.68","819.23","831.68","819.23","774.89M","1.12%"
"11/29/2023","822.44","817.90","823.81","812.95","916.37M","0.73%"
"11/28/2023","816.44","811.76","816.62","811.06","933.90M","0.76%"
"11/27/2023","810.25","816.55","816.60","809.26","794.00M","-0.58%"
"11/24/2023","815.00","817.02","818.74","814.22","741.07M","-0.12%"
"11/23/2023","815.98","816.16","819.91","813.25","909.85M","0.17%"
"11/22/2023","814.61","811.20","817.28","809.83","842.43M","-0.29%"
"11/21/2023","817.01","816.34","819.14","811.24","897.45M","0.48%"
"11/20/2023","813.08","797.83","815.27","797.51","786.86M","1.75%"
"11/17/2023","799.06","807.61","807.62","795.66","804.59M","-1.49%"
"11/16/2023","811.11","809.12","815.82","804.74","905.41M","0.22%"
"11/15/2023","809.36","808.68","813.06","805.27","816.59M","1.91%"
"11/14/2023","794.19","779.47","794.91","779.47","841.49M","2.55%"
"11/13/2023","774.42","796.41","798.15","774.33","998.05M","-1.89%"
"11/10/2023","789.31","792.86","794.73","785.45","863.20M","-1.69%"
"11/09/2023","802.87","813.89","814.92","797.44","921.92M","-1.00%"
"11/08/2023","811.02","821.98","831.45","810.15","884.42M","-1.62%"
"11/07/2023","824.37","842.16","847.37","805.81","928.09M","-1.80%"
"11/06/2023","839.45","794.49","839.45","793.72","849.33M","7.34%"
"11/03/2023","782.05","779.28","782.53","768.38","810.11M","1.19%"
"11/02/2023","772.84","753.37","773.39","753.37","794.26M","4.55%"
"11/01/2023","739.23","742.98","749.65","737.52","753.92M","0.43%"
"10/31/2023","736.10","758.65","759.24","734.20","868.12M","-2.78%"
"10/30/2023","757.12","747.24","760.87","744.63","648.82M","1.15%"
"10/27/2023","748.49","749.87","760.51","738.92","665.63M","0.62%"
"10/26/2023","743.85","751.64","756.43","740.51","839.57M","-3.50%"
"10/25/2023","770.84","788.01","788.01","770.84","1.02B","-1.79%"
"10/24/2023","784.86","771.03","784.86","750.32","951.76M","2.77%"
"10/23/2023","763.69","766.56","774.36","762.51","762.34M","-0.72%"
"10/20/2023","769.25","775.81","779.92","759.40","980.56M","-1.89%"
"10/19/2023","784.04","796.15","796.36","782.63","878.33M","-3.07%"
"10/18/2023","808.89","816.92","820.09","807.45","864.01M","-1.40%"
"10/17/2023","820.38","817.47","825.33","817.29","948.11M","1.21%"
"10/16/2023","810.54","812.57","813.19","800.62","1.05B","-1.49%"
"10/13/2023","822.78","831.21","834.66","817.66","1.06B","-1.52%"
"10/12/2023","835.49","822.27","835.79","822.27","1.04B","2.25%"
"10/11/2023","817.12","805.03","821.83","805.03","856.19M","2.78%"
"10/10/2023","795.00","821.22","823.27","792.91","978.04M","-2.62%"
"10/06/2023","816.39","803.88","818.37","803.88","776.64M","1.92%"
"10/05/2023","801.02","817.89","820.06","800.36","874.56M","-0.79%"
"10/04/2023","807.40","832.30","832.30","806.47","816.99M","-4.00%"
"09/27/2023","841.02","823.20","841.97","821.71","844.48M","1.59%"
"09/26/2023","827.82","841.80","845.30","827.82","1.12B","-1.35%"
"09/25/2023","839.17","856.79","859.04","839.17","869.43M","-2.12%"
"09/22/2023","857.35","851.93","860.68","847.56","1.03B","-0.39%"
"09/21/2023","860.68","875.52","879.82","859.51","1.05B","-2.50%"
"09/20/2023","882.72","883.74","886.65","874.92","1.02B","-0.13%"
"09/19/2023","883.89","891.57","894.26","882.42","1.05B","-0.83%"
"09/18/2023","891.29","892.18","896.37","889.99","906.67M","-0.86%"
"09/15/2023","899.03","900.62","902.40","897.11","941.82M","-0.05%"
"09/14/2023","899.47","888.19","899.47","886.46","1.02B","1.90%"
"09/13/2023","882.72","895.94","899.80","882.27","1.08B","-1.71%"
"09/12/2023","898.04","918.10","918.96","895.96","1.18B","-1.59%"
"09/11/2023","912.55","918.43","918.43","907.90","975.19M","-0.18%"
"09/08/2023","914.18","908.08","914.18","902.77","1.25B","0.86%"
"09/07/2023","906.36","914.63","921.79","902.95","1.28B","-1.26%"
"09/06/2023","917.95","923.61","927.28","916.08","1.09B","-0.38%"
"09/05/2023","921.48","918.85","922.65","913.02","1.08B","0.25%"
"09/04/2023","919.16","918.12","921.63","913.04","1.11B","-0.06%"
"09/01/2023","919.74","926.37","928.00","919.74","1.07B","-0.93%"
"08/31/2023","928.40","925.57","930.42","923.40","1.28B","0.50%"
"08/30/2023","923.81","925.08","926.44","921.05","1.28B","0.83%"
"08/29/2023","916.24","911.94","918.39","907.82","1.31B","0.75%"
"08/28/2023","909.38","907.53","909.48","901.84","1.07B","1.11%"
"08/25/2023","899.38","891.21","902.81","890.08","1.16B","-0.26%"
"08/24/2023","901.74","893.46","902.64","892.12","1.28B","2.14%"
"08/23/2023","882.87","892.65","892.65","881.40","1.44B","-1.17%"
"08/22/2023","893.33","898.40","899.21","889.71","1.23B","0.52%"
"08/21/2023","888.71","881.09","894.58","879.80","1.06B","1.30%"
"08/18/2023","877.32","878.52","882.08","874.27","1.12B","-0.98%"
"08/17/2023","886.04","875.15","887.67","863.32","1.11B","0.88%"
"08/16/2023","878.29","893.93","895.42","877.85","1.22B","-2.59%"
"08/14/2023","901.68","907.43","908.13","894.08","1.18B","-1.15%"
"08/11/2023","912.20","913.97","918.18","908.27","1.39B","0.10%"
"08/10/2023","911.29","904.68","912.65","899.01","1.26B","0.25%"
"08/09/2023","908.98","891.08","912.94","889.94","1.01B","1.86%"
"08/08/2023","892.34","901.76","903.78","889.25","1.15B","-0.65%"
"08/07/2023","898.22","913.25","913.25","894.48","1.10B","-2.20%"
"08/04/2023","918.43","921.16","922.89","914.30","1.06B","-0.21%"
"08/03/2023","920.32","911.28","920.41","897.89","1.15B","1.16%"
"08/02/2023","909.76","931.17","940.06","907.87","951.13M","-3.18%"
"08/01/2023","939.67","944.71","952.12","926.75","924.07M","0.40%"
"07/31/2023","935.97","923.01","938.43","921.39","691.58M","2.43%"
"07/28/2023","913.74","880.23","914.60","877.96","677.66M","3.39%"
"07/27/2023","883.79","897.44","912.57","878.80","892.73M","-1.87%"
"07/26/2023","900.63","945.57","956.40","886.14","1.24B","-4.18%"
"07/25/2023","939.96","932.17","945.47","924.31","932.87M","1.08%"
