Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1985-01-04,107829,107829,104792,105551,924,,,,,,924.0
1985-01-05,106310,109196,105703,109196,1748,,,,,,2672.0
1985-01-07,111018,116182,111018,115423,6772,,,,,,9444.0
1985-01-08,114663,114663,109955,109955,2488,,,,,,6956.0
1985-01-09,109348,109348,106310,106310,3265,,,,,,3691.0
1985-01-10,104944,108437,104488,104792,2120,,,,,,1571.0
1985-01-11,106159,106310,104336,104792,2464,,,,,,1571.0
1985-01-12,106462,109196,106462,107070,1036,,,,,,2607.0
1985-01-14,107222,107222,104032,104792,745,,,,,,1862.0
1985-01-15,104792,105551,104032,105551,980,,,,,,2842.0
1985-01-16,107070,107070,105703,105703,1374,,,,,,4216.0
1985-01-17,106159,106766,104792,105247,1260,107031.83333333333,,,,,2956.0
1985-01-18,105095,105551,104792,104792,1900,106687.2435897436,,,,,1056.0
1985-01-19,104792,105551,104032,104792,951,106395.66765285996,,,,,1056.0
1985-01-21,105095,105095,104184,104792,500,106148.94955241997,,45.37631743311636,,2537.5561173920114,1056.0
1985-01-22,105095,105247,104792,104792,1570,105940.18808281691,,45.37631743311636,,2315.8576168130967,1056.0
1985-01-23,105551,106159,104792,104944,375,105786.92837776816,,46.101790969321485,,2218.2652941875094,1431.0
1985-01-24,106159,106159,104032,104032,677,105516.93939657306,,42.45813436602943,,2209.164420519099,754.0
1985-01-25,104032,104032,102514,103273,348,105171.71795094643,,39.64953760472823,,2142.1384586299187,406.0
1985-01-26,102969,102969,101602,102969,895,104832.83826618546,,38.54960787788992,,2097.5877380532474,-489.0
1985-01-28,102665,102665,100236,100387,171,104148.86314831076,,30.747614494833385,,2156.3137434840787,-660.0
1985-01-29,100236,100236,99021,99780,619,103476.73035626295,,29.248921733361353,,2084.773320822725,-1279.0
1985-01-30,99628,100387,99780,100387,1142,103001.38722453019,,32.77750594927925,,1953.5092160760285,-137.0
1985-01-31,102058,102362,100387,101299,444,102739.4814976794,,37.797103117428826,,1955.3855060207381,307.0
1985-02-01,101754,101754,99628,99932,699,102307.56126726719,,33.73130552676768,,1970.0484776856085,-392.0
1985-02-02,99932,100084,99021,100084,988,101965.47491845685,104639.88461538461,34.57405214527629,-2674.40969692776,1893.21000576394,596.0
1985-02-04,99021,99021,95983,97046,519,101208.63262330963,104077.37464387465,27.144007338777755,-2868.7420205650124,2077.7858088318367,77.0
1985-02-05,96135,97198,95679,97198,1200,100591.61221972354,103567.79133692097,27.977970765964958,-2976.179117197433,2031.6320141362205,1277.0
1985-02-06,97806,98261,97350,97957,471,100186.28726284299,103152.17716381571,32.15422930937983,-2965.8899009727174,1952.5099615410957,1748.0
1985-02-07,97957,97957,97198,97806,1024,99820.0892224056,102756.1640405701,31.75966500634759,-2936.074818164503,1856.0085997447177,724.0
1985-02-08,97806,97806,97198,97502,1204,99463.46011126628,102366.96670423157,30.936601013687348,-2903.506592965292,1756.0430727931553,-480.0
1985-02-09,97198,97502,96894,96894,347,99068.15855568685,101961.56176317738,29.301080469209733,-2893.4032074905263,1664.8753448283562,-827.0
1985-02-11,96894,97502,96591,97502,1032,98827.21108558118,101631.22385479386,33.109398361028006,-2804.0127692126844,1605.4831536741194,205.0
1985-02-13,97957,98717,95831,95831,261,98366.2555339533,101201.57764332766,28.5565452751642,-2835.322109374363,1705.629017239882,-56.0
1985-02-14,96135,96439,95831,96135,400,98022.98545180664,100826.27559567377,30.43081075546294,-2803.290143867125,1620.364323811295,344.0
1985-02-15,95983,96135,95679,95679,626,97662.37230537485,100444.99592192016,29.19363124233582,-2782.623616545301,1530.4775707635622,-282.0
1985-02-16,95983,96894,95983,96135,300,97427.3919507018,100125.73696474088,32.16369691139833,-2698.345014039078,1506.262998483348,18.0
1985-02-18,96135,96439,95679,96135,408,97228.5624198246,99830.12681920451,32.163696911398326,-2601.5643993799167,1449.2868617965328,18.0
1985-02-19,96439,96591,96135,96591,334,97130.47589369773,99590.19149926344,35.310688795595766,-2459.7156055657106,1373.822087475341,352.0
1985-02-21,96742,97806,96591,96591,867,97047.47960235961,99368.02916598467,35.31068879559576,-2320.549563625056,1361.810219302098,352.0
1985-02-22,96591,97198,95679,97198,958,97070.63658661199,99207.28626480063,39.634023847163355,-2136.649678188638,1373.6488837742897,1310.0
1985-02-23,97957,98565,97350,97350,493,97113.61557328707,99069.70950444503,40.702735648570304,-1956.0939311579568,1373.1500649974478,1803.0
1985-02-25,97350,97806,97350,97350,224,97149.98240816598,98942.32361522688,40.702735648570304,-1792.3412070609047,1304.5892077268181,1803.0
1985-02-26,97350,97957,97198,97198,515,97157.3697299866,98813.11445854341,39.883828644179616,-1655.744728556805,1263.9392886509515,1288.0
1985-02-27,97198,97957,97198,97198,1302,97163.6205407579,98693.47635050316,39.88382864417962,-1529.8558097452624,1226.433489613515,1288.0
